block_id,sampled_before_constraints_mean,after_projection_mean,after_cap_mean,after_calibration_mean,final_mean,delta_projection_mean,delta_projection_radiation_mean,delta_projection_thermal_mean,delta_cap_mean,delta_calibration_mean,total_adjustment_abs_mean,constraint_pressure_score,per_cell_delta_abs,projection_active_rate,cap_active_rate,calibration_active_rate,rule_CL1_active,rule_CL3_active,rule_CL5_active,explainability_status,reject_reason
0,-2.089397347617852,-2.089397347617852,-2.089397347617852,-2.0912294972660055,-2.0912294972660055,0.023361367565346288,0.023361367565346288,0.0,0.0,0.01676871469880457,0.04013008226415085,0.04013008226415085,"[[0.0, 0.01577747859994849, 0.0007858746069187017], [0.038699058903531924, 0.10959768832849393, 0.08330855317296226], [0.04778147607739358, 0.1095976883284937, 0.08330855317296226], [0.012754653356755519, 0.0023646193934911963, 0.0041708007586689355], [0.02814294942154394, 0.009560718770853072, 0.05610112107024534]]",0.26666666666666666,0.0,0.9333333333333333,True,False,False,pass,
1,-2.0800997949259066,-2.0800997949259066,-2.0800997949259066,-2.0754368906578295,-2.0754368906578295,0.01042240104909394,0.01042240104909394,0.0,0.0,0.0265052429559948,0.03692764400508874,0.03692764400508874,"[[0.09302320803416131, 0.01577747859994849, 0.0007858746069187017], [0.06741271717002739, 0.0878581675294956, 0.008005825100068087], [0.07649513434388922, 0.0878581675294956, 0.008005825100067643], [0.012754653356755519, 0.0023646193934911963, 0.0041708007586689355], [0.02814294942154394, 0.009560718770853072, 0.051698520360946354]]",0.26666666666666666,0.0,1.0,True,False,False,pass,
2,-2.0889908160427986,-2.0889908160427986,-2.0889908160427986,-2.088016377426062,-2.088016377426062,0.004961449841687101,0.004961449841687101,0.0,0.0,0.027831976116651093,0.032793425958338195,0.032793425958338195,"[[0.0, 0.01577747859994849, 0.0007858746069187017], [0.04175208239958417, 0.06164377111940578, 0.08107916040465324], [0.04175208239958428, 0.0846640362191633, 0.09345086482761511], [0.012754653356755519, 0.0023646193934911963, 0.0041708007586689355], [0.02814294942154394, 0.009560718770853072, 0.014002297096887162]]",0.13333333333333333,0.0,0.9333333333333333,True,False,False,pass,
3,-2.074758017881841,-2.074758017881841,-2.074758017881841,-2.078495847325883,-2.078495847325883,0.00015056015604874388,0.00015056015604874388,0.0,0.0,0.025779234082323403,0.025929794238372147,0.025929794238372147,"[[0.0, 0.01577747859994849, 0.0007858746069187017], [0.005670409757296602, 0.06164377111940578, 0.030341584691356616], [0.005670409757296491, 0.0846640362191633, 0.04271328911431782], [0.012754653356755519, 0.0023646193934911963, 0.0041708007586689355], [0.02814294942154394, 0.009560718770853072, 0.08468631800856574]]",0.13333333333333333,0.0,0.9333333333333333,True,False,False,pass,
4,-2.1030674603943926,-2.1030674603943926,-2.1030674603943926,-2.0953040776767926,-2.0953040776767926,0.000517029168457824,0.000517029168457824,0.0,0.0,0.03027207300261257,0.030789102171070393,0.030789102171070393,"[[0.10492295274452496, 0.01577747859994849, 0.0007858746069187017], [0.048113216383150914, 0.05890456979756653, 0.010063570974914393], [0.05719563355701274, 0.08192483489732405, 0.010063570974914171], [0.012754653356755519, 0.0023646193934916404, 0.0041708007586689355], [0.02814294942154394, 0.009560718770853072, 0.01709108832846784]]",0.13333333333333333,0.0,1.0,True,False,False,pass,
5,-2.094172233186551,-2.094172233186551,-2.094172233186551,-2.0958365575049274,-2.0958365575049274,0.0,0.0,0.0,0.0,0.026312701895475712,0.026312701895475712,0.026312701895475712,"[[0.0, 0.01577747859994849, 0.0007858746069187017], [0.06741271717002739, 0.008287694139188506, 0.0441249356818636], [0.07649513434388922, 0.01473257096056857, 0.056496640104825246], [0.012754653356755519, 0.0023646193934911963, 0.0041708007586689355], [0.02814294942154394, 0.009560718770853072, 0.05358374112359332]]",0.0,0.0,0.9333333333333333,False,False,False,pass,
6,-2.125499014989409,-2.125499014989409,-2.125499014989409,-2.1235910898995463,-2.1235910898995463,0.02029579444402459,0.02029579444402459,0.0,0.0,0.016857127729654288,0.037152922173678875,0.037152922173678875,"[[0.0, 0.01577747859994849, 0.0007858746069187017], [0.06741271717002739, 0.052915388931271456, 0.11699905416027212], [0.07649513434388922, 0.052915388931271456, 0.11699905416027168], [0.012754653356755519, 0.0023646193934911963, 0.0041708007586689355], [0.02814294942154394, 0.009560718770853072, 0.0]]",0.26666666666666666,0.0,0.8666666666666667,True,False,False,pass,
7,-2.1043244177819878,-2.1043244177819878,-2.1043244177819878,-2.1009338418284575,-2.1009338418284575,0.009065363739964426,0.009065363739964426,0.0,0.0,0.02371912831330598,0.03278449205327041,0.03278449205327041,"[[0.02223976295501079, 0.01577747859994849, 0.0007858746069187017], [0.02667867966525589, 0.07950036059961163, 0.08107916040465346], [0.035761096839117545, 0.07950036059961185, 0.09345086482761511], [0.012754653356755519, 0.0023646193934911963, 0.0041708007586689355], [0.02814294942154394, 0.009560718770853072, 0.0]]",0.13333333333333333,0.0,0.9333333333333333,True,False,False,pass,
8,-2.0894364444693023,-2.0894364444693023,-2.0894364444693023,-2.080533655863138,-2.080533655863138,0.0018971134142726812,0.0018971134142726812,0.0,0.0,0.030230998879536446,0.03212811229380912,0.03212811229380912,"[[0.10492295274452496, 0.01577747859994849, 0.0007858746069187017], [0.01876955919397605, 0.06164377111940578, 0.05361150330247488], [0.018769559193975993, 0.0846640362191633, 0.06598320772543609], [0.012754653356755519, 0.0023646193934911963, 0.0041708007586689355], [0.02814294942154394, 0.009560718770853072, 0.0]]",0.13333333333333333,0.0,0.9333333333333333,True,False,False,pass,
9,-2.0728768327032805,-2.0728768327032805,-2.0728768327032805,-2.0654557458953966,-2.0654557458953966,0.0011198471232672185,0.0011198471232672185,0.0,0.0,0.033451039481982206,0.03457088660524943,0.03457088660524943,"[[0.10994210728827092, 0.01577747859994849, 0.0007858746069187017], [0.07581157059453153, 0.06164377111940578, 0.0026160260444489936], [0.07649513434388922, 0.0846640362191633, 0.014987730467410199], [0.012754653356755519, 0.0023646193934911963, 0.0041708007586689355], [0.02814294942154394, 0.009560718770853072, 0.018845828093441597]]",0.13333333333333333,0.0,1.0,True,False,False,pass,
