block_id,pressure,factual_decision,enforced_decision,strict_decision,primary_constraint,projection_pressure,cap_pressure,calibration_pressure
0,0.04013008226415085,accept,accept,accept,Monotonicity (CL1/CL3),0.023361367565346288,0.0,0.01676871469880457
1,0.03692764400508874,accept,accept,accept,Design Alignment,0.01042240104909394,0.0,0.0265052429559948
2,0.032793425958338195,accept,accept,accept,Design Alignment,0.004961449841687101,0.0,0.027831976116651093
3,0.025929794238372147,accept,accept,accept,Design Alignment,0.00015056015604874388,0.0,0.025779234082323403
4,0.030789102171070393,accept,accept,accept,Design Alignment,0.000517029168457824,0.0,0.03027207300261257
5,0.026312701895475712,accept,accept,accept,Design Alignment,0.0,0.0,0.026312701895475712
6,0.037152922173678875,accept,accept,accept,Monotonicity (CL1/CL3),0.02029579444402459,0.0,0.016857127729654288
7,0.03278449205327041,accept,accept,accept,Design Alignment,0.009065363739964426,0.0,0.02371912831330598
8,0.03212811229380912,accept,accept,accept,Design Alignment,0.0018971134142726812,0.0,0.030230998879536446
9,0.03457088660524943,accept,accept,accept,Design Alignment,0.0011198471232672185,0.0,0.033451039481982206
10,0.03831402430173804,accept,accept,accept,Design Alignment,0.012844075803953251,0.0,0.02546994849778479
11,0.02689172217098625,accept,accept,accept,Design Alignment,0.004699039425443089,0.0,0.02219268274554316
12,0.03281124841425577,accept,accept,accept,Design Alignment,0.0,0.0,0.03281124841425577
13,0.030106001216636608,accept,accept,accept,Monotonicity (CL1/CL3),0.01577995600152681,0.0,0.014326045215109799
14,0.0381457742200429,accept,accept,accept,Monotonicity (CL1/CL3),0.02111976278513056,0.0,0.017026011434912336
15,0.035479271754348056,accept,accept,accept,Monotonicity (CL1/CL3),0.027610506314030746,0.0,0.007868765440317308
16,0.04711390693664893,accept,accept,accept,Monotonicity (CL1/CL3),0.03211281874811234,0.0,0.01500108818853659
17,0.022998213563013792,accept,accept,accept,Monotonicity (CL1/CL3),0.01285652558396991,0.0,0.010141687979043882
18,0.03672618087295114,accept,accept,accept,Design Alignment,0.006442371204258916,0.0,0.030283809668692225
19,0.04063524981028243,accept,accept,accept,Design Alignment,0.015928952862895633,0.0,0.024706296947386797
20,0.03748990151997736,accept,accept,accept,Monotonicity (CL1/CL3),0.023975381545755677,0.0,0.013514519974221683
21,0.03686711512034272,accept,accept,accept,Monotonicity (CL1/CL3),0.018796405732657492,0.0,0.018070709387685232
22,0.0366702320195202,accept,accept,accept,Monotonicity (CL1/CL3),0.023155712045298493,0.0,0.013514519974221706
23,0.044833155379957426,accept,accept,accept,Design Alignment,0.02175035694075099,0.0,0.02308279843920644
24,0.028544906958784717,accept,accept,accept,Design Alignment,0.0016907903378662178,0.0,0.0268541166209185
25,0.02603806926217679,accept,accept,accept,Design Alignment,0.0,0.0,0.02603806926217679
26,0.02768061988129318,accept,accept,accept,Design Alignment,0.00640039920195153,0.0,0.02128022067934165
27,0.04191114646684794,accept,accept,accept,Monotonicity (CL1/CL3),0.022798617480721168,0.0,0.01911252898612677
28,0.05886805765868435,accept,accept,reject,Monotonicity (CL1/CL3),0.0379849993609058,0.0,0.020883058297778558
29,0.03473262797839769,accept,accept,accept,Monotonicity (CL1/CL3),0.01943053190364204,0.0,0.015302096074755649
30,0.021758115052297414,accept,accept,accept,Design Alignment,0.0013830382344094615,0.0,0.020375076817887954
31,0.03170926003125773,accept,accept,accept,Design Alignment,0.005421818226412256,0.0,0.026287441804845477
32,0.025378060725764724,accept,accept,accept,Design Alignment,0.0038966764268019666,0.0,0.021481384298962757
33,0.05013385424454184,accept,accept,reject,Monotonicity (CL1/CL3),0.027733892407601535,0.0,0.0223999618369403
34,0.03912191433601007,accept,accept,accept,Design Alignment,0.01039336136289924,0.0,0.028728552973110822
35,0.03458169760517363,accept,accept,accept,Design Alignment,0.006512835424698485,0.0,0.028068862180475142
36,0.029219079966419693,accept,accept,accept,Design Alignment,0.009848867565823793,0.0,0.019370212400595898
37,0.03549812197564694,accept,accept,accept,Monotonicity (CL1/CL3),0.019175277406391245,0.0,0.016322844569255694
38,0.05577529858276322,accept,accept,reject,Monotonicity (CL1/CL3),0.03526591509223988,0.0,0.02050938349052334
39,0.012453574374995962,accept,accept,accept,Design Alignment,0.001974510544427758,0.0,0.010479063830568203
40,0.037989772911542256,accept,accept,accept,Monotonicity (CL1/CL3),0.019310452750604373,0.0,0.018679320160937887
41,0.028082351534952987,accept,accept,accept,Design Alignment,0.004687955901971204,0.0,0.023394395632981783
