Радиация,Температура,Время,synthetic_mean_mean,synthetic_mean_std,synthetic_mean_min,synthetic_mean_max,abs_mean_error_mean,abs_mean_error_max
0.0,42.0,45.0,0.5186446917891195,0.001732555583204338,0.5168012044361011,0.5212030154765732,0.01135530821088053,0.013198795563898913
0.0,43.0,45.0,0.18651396350929192,0.0008803980399944779,0.18501064413035015,0.18749604804292522,0.006513963509291936,0.007496048042925224
0.0,44.0,30.0,0.02172012584410702,0.00020307248164228554,0.02145791012438321,0.022073930348220326,0.0007201258441070202,0.0010739303482203248
2.0,42.0,45.0,0.2691593138331552,0.0010766286374892984,0.26752783016698906,0.2710677025578901,0.009159313833155235,0.01106770255789008
2.0,43.0,45.0,0.052973367095345635,0.00017583836922240105,0.052744294821843236,0.05328337787892222,0.0019733670953456387,0.002283377878922223
2.0,44.0,30.0,0.008311629186251848,3.119452496124503e-05,0.008277681690309638,0.008379308532363792,0.0003116291862518485,0.000379308532363792
4.0,42.0,45.0,0.26037405347801934,0.001328321343957486,0.2591887070051867,0.2627397910023337,0.000978455678027533,0.0027397910023336802
4.0,43.0,45.0,0.05113989480068987,0.0002521873308763064,0.05070112208924715,0.05147945036251374,0.00024715602882619675,0.00047945036251374057
4.0,44.0,30.0,0.008005454678398282,3.0385424214448662e-05,0.007970589638572808,0.008054421646944292,2.3299420435038843e-05,5.442164694429222e-05
6.0,42.0,45.0,0.022502190544015345,6.532607885262574e-05,0.02238615992447943,0.022612003744589427,0.0005021905440153462,0.0006120037445894282
6.0,43.0,45.0,0.012261894175890617,7.103219242632709e-05,0.012164096455676898,0.012379155430217934,0.00026189417589061754,0.00037915543021793327
6.0,44.0,30.0,0.0003121118011291229,1.4264022512469563e-06,0.0003089814774076925,0.000313584287568382,1.2111801129122947e-05,1.3584287568382e-05
8.0,42.0,45.0,0.0007247809669574348,5.110127859942949e-06,0.0007193917025353588,0.0007330116242405318,2.4780966957434807e-05,3.301162424053177e-05
8.0,43.0,45.0,4.1499852837217646e-05,1.6699464833037304e-07,4.126939603377769e-05,4.179911476062436e-05,1.4998528372176423e-06,1.7991147606243578e-06
8.0,44.0,30.0,2.8467419013392776e-08,3.6169538890885654e-09,2.3995675763893882e-08,3.447139860341708e-08,2.8467419013392776e-08,3.447139860341708e-08
